"","date","dat$`Lufttemperatur (°C)`","dat$`Windböen (max) 10 min. (m/s)`","dat$`Windstärke Ø 10 min. (bft)`","dat$`Taupunkt (°C)`","dat$`Niederschlag (mm)`","dat$`Luftdruck QFE (hPa)`","dat$`Luftfeuchte (%)`","total","mean"
"325",2016-01-15 17:00:00,2.05,11,3,-5.45,0,966.833333333333,57.3333333333333,833844,62.6997518610422
"326",2016-01-15 18:00:00,1.21666666666667,9.93333333333333,2.83333333333333,-3.8,0,967.283333333333,69,699610,52.3464272353161
"327",2016-01-15 19:00:00,1.11666666666667,7.06666666666667,2.33333333333333,-3.1,0,967.416666666667,73.5,490288,41.5674438321323
"328",2016-01-15 20:00:00,1.28333333333333,6.81666666666667,1.5,-2.98333333333333,0,967.383333333333,73.1666666666667,507541,48.3096325909004
"329",2016-01-15 21:00:00,0.616666666666667,8.3,2.33333333333333,-2.51666666666667,0,967.65,79.6666666666667,411928,49.4036939313984
"330",2016-01-15 22:00:00,-0.0833333333333333,6.76666666666667,1.83333333333333,-1.86666666666667,0,967.983333333333,88,384509,47.5583178726036
"331",2016-01-15 23:00:00,-0.166666666666667,11.5,2.83333333333333,-2.38333333333333,0.1,968.116666666667,85,341698,43.1545844910331
"332",2016-01-16 00:00:00,0.0166666666666667,10.3333333333333,3.16666666666667,-2.96666666666667,0,968.7,80.3333333333333,222932,39.3455700670667
"333",2016-01-16 01:00:00,0.0666666666666667,9.06666666666667,3,-2.91666666666667,0,969.15,80.1666666666667,5502,39.8695652173913
"334",2016-01-16 04:00:00,0.25,4.76666666666667,1.5,-1.98333333333333,0,970.166666666667,84.8333333333333,4510,35.511811023622
"335",2016-01-16 05:00:00,0.316666666666667,3.33333333333333,1.5,-1.83333333333333,0,970.716666666667,85.5,88790,21.2772585669782
"336",2016-01-16 06:00:00,0.3,3.08333333333333,1.66666666666667,-1.16666666666667,0,971.216666666667,89.8333333333333,148351,24.1732116669382
"337",2016-01-16 07:00:00,0.25,2.53333333333333,1.5,-0.866666666666667,0.2,971.883333333333,91.8333333333333,235426,31.256771109931
"338",2016-01-16 08:00:00,0.133333333333333,2.21666666666667,1,-0.933333333333333,0,972.633333333333,92.8333333333333,293515,34.4582061516788
"339",2016-01-16 09:00:00,0.883333333333333,2.46666666666667,1.33333333333333,-0.816666666666667,0,973.35,88.3333333333333,288531,30.6296178343949
"340",2016-01-16 10:00:00,1.56666666666667,2.23333333333333,1,-1.08333333333333,0,973.866666666667,82.5,314996,28.5658837399111
"341",2016-01-16 11:00:00,2.66666666666667,3.91666666666667,1.66666666666667,-0.916666666666667,0,974.05,77,258821,23.3909624943516
"342",2016-01-16 12:00:00,1.58333333333333,4.48333333333333,1.83333333333333,-0.783333333333333,0.2,974.183333333333,84.3333333333333,293546,26.519649471497
"343",2016-01-16 13:00:00,2.68333333333333,6.95,2.66666666666667,-0.616666666666667,0,974.266666666667,79,312339,28.2123566073525
"344",2016-01-16 14:00:00,2.2,5.93333333333333,2.16666666666667,-1.76666666666667,0,974.383333333333,74.6666666666667,356614,32.2902933719667
"345",2016-01-16 15:00:00,1.45,3.96666666666667,1.66666666666667,-1.5,0,974.433333333333,80.5,382842,35.3926227234908
